student_id,student_first_name,student_last_name,student_email,student_start_year
61,Kathryn,Ryan,ryan_kathryn@student.ceu.edu,2022
62,Kimberly,Moreno,moreno_kimberly@student.ceu.edu,2021
63,Aaron,Nguyen,nguyen_aaron@student.ceu.edu,2024
64,Andrew,Hickman,hickman_andrew@student.ceu.edu,2023
65,Natasha,Decker,decker_natasha@student.ceu.edu,2024
66,Kyle,Brown,brown_kyle@student.ceu.edu,2023
67,Natalie,Arroyo,arroyo_natalie@student.ceu.edu,2022
68,Christopher,Tucker,tucker_christopher@student.ceu.edu,2023
69,Chad,Hodges,hodges_chad@student.ceu.edu,2023
70,Katie,Anderson,anderson_katie@student.ceu.edu,2022
71,Thomas,Pierce,pierce_thomas@student.ceu.edu,2023
72,Joseph,Brennan,brennan_joseph@student.ceu.edu,2021
73,Rodney,Lewis,lewis_rodney@student.ceu.edu,2025
74,Amber,Blair,blair_amber@student.ceu.edu,2022
75,James,Collins,collins_james@student.ceu.edu,2025
76,Wanda,Santos,santos_wanda@student.ceu.edu,2022
77,Samuel,Holmes,holmes_samuel@student.ceu.edu,2022
78,David,Walker,walker_david@student.ceu.edu,2024
79,Matthew,Chapman,chapman_matthew@student.ceu.edu,2024
80,Jerry,Robinson,robinson_jerry@student.ceu.edu,2023
81,Chad,Welch,welch_chad@student.ceu.edu,2025
82,Jeremy,Whitehead,whitehead_jeremy@student.ceu.edu,2022
83,Michele,Jones,jones_michele@student.ceu.edu,2023
84,John,Caldwell,caldwell_john@student.ceu.edu,2021
85,Jason,Anderson,anderson_jason@student.ceu.edu,2022
86,Selena,Duncan,duncan_selena@student.ceu.edu,2021
87,Thomas,Mueller,mueller_thomas@student.ceu.edu,2023
88,Lindsey,Lee,lee_lindsey@student.ceu.edu,2024
89,Collin,Jordan,jordan_collin@student.ceu.edu,2023
90,Rodney,Owens,owens_rodney@student.ceu.edu,2021
91,Jessica,Nunez,nunez_jessica@student.ceu.edu,2022
92,Tracey,Garcia,garcia_tracey@student.ceu.edu,2025
93,Richard,Morgan,morgan_richard@student.ceu.edu,2023
94,Michelle,Wright,wright_michelle@student.ceu.edu,2022
95,James,West,west_james@student.ceu.edu,2024
96,Robert,Ramirez,ramirez_robert@student.ceu.edu,2024
97,John,Leblanc,leblanc_john@student.ceu.edu,2024
98,Scott,Callahan,callahan_scott@student.ceu.edu,2022
99,Andrea,Williams,williams_andrea@student.ceu.edu,2023
100,Yvette,Huff,huff_yvette@student.ceu.edu,2022
101,Tanya,House,house_tanya@student.ceu.edu,2022
102,Melinda,Martin,martin_melinda@student.ceu.edu,2025
103,Todd,Lewis,lewis_todd@student.ceu.edu,2025
104,Richard,Brown,brown_richard@student.ceu.edu,2023
105,Nicholas,Galloway,galloway_nicholas@student.ceu.edu,2025
106,Joseph,Bowers,bowers_joseph@student.ceu.edu,2024
107,Spencer,Henderson,henderson_spencer@student.ceu.edu,2025
108,Susan,Cowan,cowan_susan@student.ceu.edu,2024
109,Angela,Higgins,higgins_angela@student.ceu.edu,2023
110,Eric,Phillips,phillips_eric@student.ceu.edu,2022
111,Tanya,Riley,riley_tanya@student.ceu.edu,2022
112,Amy,Adkins,adkins_amy@student.ceu.edu,2025
113,Brian,Silva,silva_brian@student.ceu.edu,2024
114,Wesley,Farrell,farrell_wesley@student.ceu.edu,2021
115,Eric,Yu,yu_eric@student.ceu.edu,2021
116,Christopher,Lopez,lopez_christopher@student.ceu.edu,2021
117,Brooke,Leonard,leonard_brooke@student.ceu.edu,2022
118,Joe,Wilson,wilson_joe@student.ceu.edu,2022
119,Pamela,Sanchez,sanchez_pamela@student.ceu.edu,2024
120,Brooke,Harvey,harvey_brooke@student.ceu.edu,2025
121,Robert,Silva,silva_robert@student.ceu.edu,2021
122,Alexandra,Donovan,donovan_alexandra@student.ceu.edu,2024
123,James,Moran,moran_james@student.ceu.edu,2024
124,John,Foster,foster_john@student.ceu.edu,2025
125,Emily,Evans,evans_emily@student.ceu.edu,2024
126,Leslie,Walton,walton_leslie@student.ceu.edu,2025
127,Charles,Ellis,ellis_charles@student.ceu.edu,2023
128,Yolanda,Ferrell,ferrell_yolanda@student.ceu.edu,2025
129,Charles,Lewis,lewis_charles@student.ceu.edu,2021
130,Joseph,Mahoney,mahoney_joseph@student.ceu.edu,2021
131,Nicole,Suarez,suarez_nicole@student.ceu.edu,2025
132,Mike,Moore,moore_mike@student.ceu.edu,2023
133,Martha,Warner,warner_martha@student.ceu.edu,2023
134,Cheryl,Archer,archer_cheryl@student.ceu.edu,2021
135,Destiny,Smith,smith_destiny@student.ceu.edu,2023
136,Lisa,Evans,evans_lisa@student.ceu.edu,2024
137,Elizabeth,Mcmillan,mcmillan_elizabeth@student.ceu.edu,2022
138,Dennis,Wilson,wilson_dennis@student.ceu.edu,2024
139,Daniel,Tran,tran_daniel@student.ceu.edu,2021
140,Joseph,Jacobs,jacobs_joseph@student.ceu.edu,2023
141,Jennifer,Harris,harris_jennifer@student.ceu.edu,2025
142,Cynthia,Baker,baker_cynthia@student.ceu.edu,2022
143,Tracy,Whitehead,whitehead_tracy@student.ceu.edu,2025
144,Meghan,Davis,davis_meghan@student.ceu.edu,2021
145,Rodney,Hill,hill_rodney@student.ceu.edu,2023
146,Adam,Wise,wise_adam@student.ceu.edu,2025
147,Dana,Green,green_dana@student.ceu.edu,2025
148,Joyce,Arnold,arnold_joyce@student.ceu.edu,2022
149,Ronald,Smith,smith_ronald@student.ceu.edu,2022
150,Charles,Ware,ware_charles@student.ceu.edu,2023
151,Rebecca,Gardner,gardner_rebecca@student.ceu.edu,2022
152,Mary,Aguilar,aguilar_mary@student.ceu.edu,2025
153,Earl,Anderson,anderson_earl@student.ceu.edu,2025
154,Kyle,Nolan,nolan_kyle@student.ceu.edu,2021
155,Laura,Valencia,valencia_laura@student.ceu.edu,2025
156,Rachel,Clark,clark_rachel@student.ceu.edu,2023
157,John,Garcia,garcia_john@student.ceu.edu,2024
158,Kimberly,Henson,henson_kimberly@student.ceu.edu,2021
159,Richard,Oliver,oliver_richard@student.ceu.edu,2021
160,Eric,Spears,spears_eric@student.ceu.edu,2023
161,Michelle,Cherry,cherry_michelle@student.ceu.edu,2023
162,Lisa,Keith,keith_lisa@student.ceu.edu,2022
163,Angel,Doyle,doyle_angel@student.ceu.edu,2021
164,Martin,Galvan,galvan_martin@student.ceu.edu,2022
165,Leah,Shields,shields_leah@student.ceu.edu,2025
166,Lisa,Adams,adams_lisa@student.ceu.edu,2021
167,Kristin,Rodriguez,rodriguez_kristin@student.ceu.edu,2021
168,Monica,Garrison,garrison_monica@student.ceu.edu,2024
169,Jeffrey,Velasquez,velasquez_jeffrey@student.ceu.edu,2021
170,Steven,Torres,torres_steven@student.ceu.edu,2025
171,Laura,Perez,perez_laura@student.ceu.edu,2022
172,Andrew,Lee,lee_andrew@student.ceu.edu,2022
173,Mark,Lin,lin_mark@student.ceu.edu,2024
174,Tammy,Ramirez,ramirez_tammy@student.ceu.edu,2025
175,Darlene,Ross,ross_darlene@student.ceu.edu,2022
176,Tina,Herrera,herrera_tina@student.ceu.edu,2023
177,Sheila,Wilson,wilson_sheila@student.ceu.edu,2025
178,Tara,White,white_tara@student.ceu.edu,2025
179,Sydney,Baker,baker_sydney@student.ceu.edu,2024
180,Daniel,Hamilton,hamilton_daniel@student.ceu.edu,2022
181,Jessica,Edwards,edwards_jessica@student.ceu.edu,2025
182,Catherine,Dixon,dixon_catherine@student.ceu.edu,2022
183,Paul,Ray,ray_paul@student.ceu.edu,2023
184,Jonathan,Fletcher,fletcher_jonathan@student.ceu.edu,2024
185,Aaron,Frost,frost_aaron@student.ceu.edu,2023
186,Amanda,Ball,ball_amanda@student.ceu.edu,2024
187,Judy,Lambert,lambert_judy@student.ceu.edu,2025
188,Michael,Jones,jones_michael@student.ceu.edu,2024
189,Elizabeth,Rivera,rivera_elizabeth@student.ceu.edu,2021
190,Lee,Charles,charles_lee@student.ceu.edu,2022
191,Jennifer,Evans,evans_jennifer@student.ceu.edu,2022
192,Kyle,Ortiz,ortiz_kyle@student.ceu.edu,2021
193,Richard,Phillips,phillips_richard@student.ceu.edu,2023
194,David,Fisher,fisher_david@student.ceu.edu,2021
195,Shelby,Byrd,byrd_shelby@student.ceu.edu,2025
196,Raven,Gilbert,gilbert_raven@student.ceu.edu,2025
197,Kevin,Kelley,kelley_kevin@student.ceu.edu,2022
198,Aaron,Mitchell,mitchell_aaron@student.ceu.edu,2025
199,Russell,Carpenter,carpenter_russell@student.ceu.edu,2022
200,Diana,Marshall,marshall_diana@student.ceu.edu,2021
